hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
,,,,
18,46,40,145093,MTKGPS*08
,,,,
18,46,40,661091,MTKGPS*08
,,,,
18,46,41,187092,MTKGPS*08
,,,,
18,46,41,703091,MTKGPS*08
,,,,
18,46,42,217094,MTKGPS*08
,,,,
18,46,42,730092,MTKGPS*08
,,,,
18,46,43,249086,MTKGPS*08
,,,,
18,46,43,767093,MTKGPS*08
,,,,
18,46,44,278450,MTKGPS*08
,,,,
18,46,44,819093,MTKGPS*08
,,,,
18,46,45,339090,MTKGPS*08
,,,,
18,46,45,858092,MTKGPS*08
,,,,
18,46,46,369446,MTKGPS*08
,,,,
18,46,46,882094,MTKGPS*08
,,,,
18,46,47,395094,MTKGPS*08
,,,,
18,46,47,908094,MTKGPS*08
,,,,
18,46,48,424093,MTKGPS*08
,,,,
18,46,48,937094,MTKGPS*08
,,,,
18,46,49,450093,MTKGPS*08
,,,,
18,46,49,966091,MTKGPS*08
,,,,
18,46,50,479091,MTKGPS*08
,,,,
18,46,51,1092,MTKGPS*08
,,,,
18,46,51,522035,MTKGPS*08
,,,,
18,46,52,38096,MTKGPS*08
,,,,
18,46,52,552095,MTKGPS*08
,,,,
18,46,53,65095,MTKGPS*08
,,,,
18,46,53,578095,MTKGPS*08
,,,,
18,46,54,92094,MTKGPS*08
,,,,
18,46,54,611094,MTKGPS*08
,,,,
18,46,55,127094,MTKGPS*08
,,,,
